,running_id,link,article_type,headline,content_extract,author,publication_time,shares,__final verdict__MANUAL,__final verdict__WEAK_SUPERVISION,__final verdict__WEAK_SUPERVISION__confidence,combined
0,0,https://www.faz.net/aktuell/politik/inland/von-muenchen-nach-sylt-mit-dem-9-euro-ticket-18079751.html,9-Euro-Ticket im Selbstversuch,15 Stunden 34 Minuten bis zum Fischbrötchen,"Einmal Deutschland bitte. Wie man auch von München bis Westerland kommen kann und was einem dabei alles durch den Kopf geht, schildert unser Reporter aus der Regionalbahn diagonal durch das Land.",Timo Frasch,05.06.2022 15:45 Uhr,,1.0,1,0.8794,"9-Euro-Ticket im Selbstversuch 15 Stunden 34 Minuten bis zum Fischbrötchen Einmal Deutschland bitte. Wie man auch von München bis Westerland kommen kann und was einem dabei alles durch den Kopf geht, schildert unser Reporter aus der Regionalbahn diagonal durch das Land."
1,1,https://www.faz.net/aktuell/wirtschaft/auto-verkehr/endstation-verzweiflung-bei-der-deutschen-bahn-18079868.html,Baustellen und Verspätungen,Endstation Verzweiflung bei der Deutschen Bahn,Die Bahn steckt fest im selbst verschuldeten Schlamassel aus zahlreichen Baustellen und endlosen Verspätungen. Findet sie da jemals wieder raus?,Corinna Budras und Thiemo Heeg,04.06.2022 11:32 Uhr,90.0,1.0,1,0.4696,Baustellen und Verspätungen Endstation Verzweiflung bei der Deutschen Bahn Die Bahn steckt fest im selbst verschuldeten Schlamassel aus zahlreichen Baustellen und endlosen Verspätungen. Findet sie da jemals wieder raus?
2,10,https://www.faz.net/aktuell/sport/fussball/champions-league/toni-kroos-gegen-nils-kaben-schluss-mit-der-diskussion-18079645.html,Kroos gegen Kaben,Schluss mit der peinlichen Diskussion!,Die deutsche Fußball-Öffentlichkeit spricht nach dem Interview-Abbruch beim Champions-League-Finale seit einer Woche über Querpass-Toni und Querfragen-Nils. Warum eigentlich?,,04.06.2022 14:04 Uhr,19.0,1.0,1,0.6176,Kroos gegen Kaben Schluss mit der peinlichen Diskussion! Die deutsche Fußball-Öffentlichkeit spricht nach dem Interview-Abbruch beim Champions-League-Finale seit einer Woche über Querpass-Toni und Querfragen-Nils. Warum eigentlich?
3,100,https://allesbeste.faz.net/sport-outdoor/technik/wetterstationen-im-test/?utm_source=faz&utm_medium=verlagsbox&utm_campaign=wetterstationen-test,Wetterstationen im Test,Donnerwetter,,,,,,1,0.8451,Wetterstationen im Test Donnerwetter 
4,1000,https://www.faz.net/aktuell/politik/geschichte/wie-die-bundespraesidenten-ihr-amt-praegten-17797668.html,Wahl des Staatsoberhaupts,Wie die Bundespräsidenten ihr Amt prägten,"Heuss stiftete das „Silberne Lorbeerblatt“, Weizsäcker hielt eine berühmte Rede. Nicht jedes Staatsoberhaupt blieb positiv in Erinnerung. Doch denkwürdige Momente hatten sie alle.",Günter Bannas,12.02.2022 12:56 Uhr,6.0,,1,0.6177,"Wahl des Staatsoberhaupts Wie die Bundespräsidenten ihr Amt prägten Heuss stiftete das „Silberne Lorbeerblatt“, Weizsäcker hielt eine berühmte Rede. Nicht jedes Staatsoberhaupt blieb positiv in Erinnerung. Doch denkwürdige Momente hatten sie alle."
5,1001,https://www.faz.net/aktuell/politik/geschichte/archaeologen-finden-in-der-wetterau-dinge-aus-der-bronzezeit-17768749.html,Grabungen in der Wetterau,Verwittertes Armband aus der Bronzezeit,Rund um Florstadt in der Wetterau waren die Lebensbedingungen in der Steinzeit besser als anderswo. Das belegen Funde aus einer Grabung. Der Bau eines Logistikzentrums machte sie notwendig.,Katja Winter,01.02.2022 07:43 Uhr,136.0,,1,0.4829,Grabungen in der Wetterau Verwittertes Armband aus der Bronzezeit Rund um Florstadt in der Wetterau waren die Lebensbedingungen in der Steinzeit besser als anderswo. Das belegen Funde aus einer Grabung. Der Bau eines Logistikzentrums machte sie notwendig.
6,1002,https://www.faz.net/aktuell/politik/geschichte/amateurfilme-zeigen-frankfurter-alltag-im-nationalsozialismus-17762922.html,Amateurfilme zeigen Alltag,Normalität im totalitären Staat,Der totalitäre NS-Staat durchdrang alle gesellschaftlichen Ebenen – auch im „liberalen“ Frankfurt. Jetzt erstmals zu sehende Amateurvideos liefern bisher unbekanntes Anschauungsmaterial.,Matthias Trautsch,30.01.2022 18:11 Uhr,100.0,,1,0.4311,Amateurfilme zeigen Alltag Normalität im totalitären Staat Der totalitäre NS-Staat durchdrang alle gesellschaftlichen Ebenen – auch im „liberalen“ Frankfurt. Jetzt erstmals zu sehende Amateurvideos liefern bisher unbekanntes Anschauungsmaterial.
7,1003,https://www.faz.net/aktuell/politik/geschichte/50-jahre-radikalenerlass-auf-der-suche-nach-extremisten-17758585.html,50 Jahre Radikalenerlass,Auf der Suche nach extremistischen Beamten,"Heute jährt sich eine der umstrittensten Entscheidungen der Ministerpräsidentenkonferenz: Wie soll der Staat mit Beamten und Anwärtern umgehen, an deren Verfassungstreue es Zweifel gibt?",Stephan Klenner,28.01.2022 12:27 Uhr,3.0,,0,0.4762,"50 Jahre Radikalenerlass Auf der Suche nach extremistischen Beamten Heute jährt sich eine der umstrittensten Entscheidungen der Ministerpräsidentenkonferenz: Wie soll der Staat mit Beamten und Anwärtern umgehen, an deren Verfassungstreue es Zweifel gibt?"
8,1004,https://www.faz.net/aktuell/politik/geschichte/holocaust-gedenken-jair-lapid-besucht-mauthausen-17758950.html,Lapid besucht Gedenkstätte,"„Ruhe in Frieden, Großvater“",Der israelische Außenminister erinnert zusammen mit dem österreichischen Bundeskanzler an die Opfer des Nationalsozialismus. Zu Mauthausen hat er einen ganz persönlichen Bezug.,"Stephan Löwenstein, Mauthausen",27.01.2022 17:37 Uhr,37.0,,0,0.3414,"Lapid besucht Gedenkstätte „Ruhe in Frieden, Großvater“ Der israelische Außenminister erinnert zusammen mit dem österreichischen Bundeskanzler an die Opfer des Nationalsozialismus. Zu Mauthausen hat er einen ganz persönlichen Bezug."
9,1005,https://www.faz.net/aktuell/politik/geschichte/muenchen-1938-wie-appeasement-zum-schweren-vorwurf-wurde-17744486.html,München 1938,Wie „Appeasement“ zum schweren Vorwurf wurde,In der Ukraine-Krise fällt wieder oft der Begriff „Appeasement“. Diese Politik prägte die dreißiger Jahre in Großbritannien und fand einen Höhepunkt in der Sudetenkrise 1938.,Peter Sturm,23.01.2022 13:24 Uhr,19.0,,0,0.775,München 1938 Wie „Appeasement“ zum schweren Vorwurf wurde In der Ukraine-Krise fällt wieder oft der Begriff „Appeasement“. Diese Politik prägte die dreißiger Jahre in Großbritannien und fand einen Höhepunkt in der Sudetenkrise 1938.
